District - Enrollment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian or Alaska Native Count,Total American Indian or Alaska Native Percent,American Indian or Alaska Native Female Count,American Indian or Alaska Native Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students American Indian (State) Count,Total Students American Indian (State) Percent,Total Students Not American Indian (State) Count,Total Students Not American Indian (State) Percent,Total Students Eligible for Free or Reduced Priced Meals Count,Total Students Eligible for Free or Reduced Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English Learner Identified Count,Total English Learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English Learner Identified Applied,Additional Suppression Homeless Applied
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,ECSE,11,N,4,36.36%,7,63.64%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,9,81.82%,4,5,2,18.18%,0,2,2,18.18%,0,0.00,11,100.00,9,81.82%,,>=90%,0,0.00%,2,18.18%,N,Y,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,KG,53,N,27,50.94%,26,49.06%,1,1.89%,1,0,1,1.89%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,47,88.68%,24,23,4,7.55%,2,2,6,11.32%,1,1.89,52,98.11,15,28.30%,7,13.21%,0,0.00%,1,1.89%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,1,71,N,37,52.11%,34,47.89%,1,1.41%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,67,94.37%,35,32,3,4.23%,1,2,4,5.63%,1,1.41,70,98.59,25,35.21%,13,18.31%,0,0.00%,0,0.00%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,2,56,N,29,51.79%,27,48.21%,1,1.79%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,49,87.50%,24,25,6,10.71%,4,2,7,12.50%,1,1.79,55,98.21,16,28.57%,7,12.50%,0,0.00%,0,0.00%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,3,60,N,35,58.33%,25,41.67%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,2,3.33%,0,2,1,1.67%,1,0,54,90.00%,32,22,3,5.00%,2,1,6,10.00%,1,1.67,59,98.33,28,46.67%,8,13.33%,0,0.00%,1,1.67%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,4,90,N,38,42.22%,52,57.78%,1,1.11%,0,1,1,1.11%,0,1,0,0.00%,0,0,3,3.33%,3,0,0,0.00%,0,0,82,91.11%,32,50,3,3.33%,3,0,8,8.89%,1,1.11,89,98.89,29,32.22%,19,21.11%,0,0.00%,2,2.22%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,5,76,N,32,42.11%,44,57.89%,2,2.63%,0,2,0,0.00%,0,0,0,0.00%,0,0,2,2.63%,0,2,0,0.00%,0,0,69,90.79%,32,37,3,3.95%,0,3,7,9.21%,1,1.32,75,98.68,25,32.89%,18,23.68%,0,0.00%,0,0.00%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,6,79,N,31,39.24%,48,60.76%,1,1.27%,0,1,1,1.27%,0,1,0,0.00%,0,0,1,1.27%,0,1,0,0.00%,0,0,74,93.67%,29,45,2,2.53%,2,0,5,6.33%,2,2.53,77,97.47,28,35.44%,12,15.19%,0,0.00%,1,1.27%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,7,78,N,28,35.90%,50,64.10%,3,3.85%,0,3,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,73,93.59%,27,46,2,2.56%,1,1,5,6.41%,3,3.85,75,96.15,22,28.21%,13,16.67%,0,0.00%,0,0.00%,N,N,N,N
21-22,1,Aitkin,0001,01,Aitkin Public School District,000,,3,03,,8,97,N,50,51.55%,47,48.45%,1,1.03%,0,1,1,1.03%,1,0,0,0.00%,0,0,1,1.03%,0,1,2,2.06%,0,2,89,91.75%,47,42,3,3.09%,2,1,8,8.25%,2,2.06,95,97.94,22,22.68%,19,19.59%,1,1.03%,0,0.00%,N,N,N,N
