District - Enrollment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian Count,Total American Indian Percent,American Indian Female Count,American Indian Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Other Indigenous Peoples Count,Total Other Indigenous Peoples Percent,Other Indigenous Peoples Female Count,Other Indigenous Peoples Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced Priced Meals Count,Total Students Eligible for Free or Reduced Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English Learner Identified Count,Total English Learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English Learner Identified Applied,Additional Suppression Homeless Applied
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,ECSE,7,Y,4,57.14%,3,42.86%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,7,100.00%,4,3,0,0.00%,0,0,0,0.00%,,,,,,,,,Y,Y,Y,Y
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,PK,45,N,24,53.33%,21,46.67%,1,2.22%,1,0,0,0.00%,0,0,0,0.00%,0,0,1,2.22%,0,1,0,0.00%,0,0,0,0.00%,0,0,43,95.56%,23,20,0,0.00%,0,0,2,4.44%,21,46.67%,0,0.00%,,,0,0.00%,N,N,Y,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,KG,58,N,26,44.83%,32,55.17%,0,0.00%,0,0,1,1.72%,1,0,1,1.72%,0,1,3,5.17%,3,0,0,0.00%,0,0,0,0.00%,0,0,51,87.93%,21,30,2,3.45%,1,1,7,12.07%,28,48.28%,8,13.79%,0,0.00%,,,N,N,N,Y
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,1,52,N,26,50.00%,26,50.00%,1,1.92%,0,1,0,0.00%,0,0,0,0.00%,0,0,1,1.92%,1,0,0,0.00%,0,0,0,0.00%,0,0,49,94.23%,24,25,1,1.92%,1,0,3,5.77%,32,61.54%,9,17.31%,0,0.00%,0,0.00%,N,N,N,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,2,79,N,41,51.90%,38,48.10%,1,1.27%,0,1,0,0.00%,0,0,0,0.00%,0,0,1,1.27%,0,1,0,0.00%,0,0,0,0.00%,0,0,74,93.67%,41,33,3,3.80%,0,3,5,6.33%,42,53.16%,19,24.05%,0,0.00%,1,1.27%,N,N,N,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,3,56,N,26,46.43%,30,53.57%,2,3.57%,2,0,1,1.79%,0,1,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,52,92.86%,24,28,1,1.79%,0,1,4,7.14%,24,42.86%,16,28.57%,0,0.00%,0,0.00%,N,N,N,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,4,65,N,31,47.69%,34,52.31%,1,1.54%,1,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,63,96.92%,30,33,1,1.54%,0,1,2,3.08%,27,41.54%,13,20.00%,0,0.00%,0,0.00%,N,N,N,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,5,53,N,23,43.40%,30,56.60%,1,1.89%,1,0,1,1.89%,0,1,0,0.00%,0,0,1,1.89%,0,1,0,0.00%,0,0,0,0.00%,0,0,43,81.13%,18,25,7,13.21%,4,3,10,18.87%,,,11,20.75%,0,0.00%,0,0.00%,Y,N,N,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,6,61,N,32,52.46%,29,47.54%,2,3.28%,0,2,0,0.00%,0,0,0,0.00%,0,0,2,3.28%,0,2,0,0.00%,0,0,0,0.00%,0,0,56,91.80%,31,25,1,1.64%,1,0,5,8.20%,30,49.18%,12,19.67%,0,0.00%,0,0.00%,N,N,N,N
24-25,1,Aitkin County,0001,01,Aitkin Public School District,000,n/a,3,03,n/a,7,90,N,38,42.22%,52,57.78%,2,2.22%,1,1,1,1.11%,0,1,0,0.00%,0,0,2,2.22%,2,0,0,0.00%,0,0,0,0.00%,0,0,82,91.11%,32,50,3,3.33%,3,0,8,8.89%,38,42.22%,15,16.67%,0,0.00%,0,0.00%,N,N,N,N
