School - Enrollment Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Year,County Number,County Name,District Number,District Type,District Name,School Number,School Name,ECSU Number,Economic Development Region,School Classification,Grade,Total Enrollment,Filter Groups,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total American Indian Count,Total American Indian Percent,American Indian Female Count,American Indian Male Count,Total Asian Count,Total Asian Percent,Asian Female Count,Asian Male Count,Total Black or African American Count,Total Black or African American Percent,Black or African American Female Count,Black or African American Male Count,Total Hispanic or Latino Count,Total Hispanic or Latino Percent,Hispanic or Latino Female Count,Hispanic or Latino Male Count,Total Native Hawaiian or Pacific Islander Count,Total Native Hawaiian or Pacific Islander Percent,Native Hawaiian or Pacific Islander Female Count,Native Hawaiian or Pacific Islander Male Count,Total Other Indigenous Peoples Count,Total Other Indigenous Peoples Percent,Other Indigenous Peoples Female Count,Other Indigenous Peoples Male Count,Total White Count,Total White Percent,White Female Count,White Male Count,Total Two or More Races Count,Total Two or More Races Percent,Two or More Races Female Count,Two or More Races Male Count,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Eligible for Free or Reduced Priced Meals Count,Total Students Eligible for Free or Reduced Priced Meals Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total English Learner Identified Count,Total English Learner Identified Percent,Total Students Experiencing Homelessness Count,Total Students Experiencing Homelessness Percent,Additional Suppression Free or Reduced Priced Meals Applied,Additional Suppression Special Education Applied,Additional Suppression English Learner Identified Applied,Additional Suppression Homeless Applied
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,7,90,N,38,42.22%,52,57.78%,2,2.22%,1,1,1,1.11%,0,1,0,0.00%,0,0,2,2.22%,2,0,0,0.00%,0,0,0,0.00%,0,0,82,91.11%,32,50,3,3.33%,3,0,8,8.89%,38,42.22%,15,16.67%,0,0.00%,0,0.00%,N,N,N,N
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,8,71,N,29,40.85%,42,59.15%,1,1.41%,0,1,0,0.00%,0,0,0,0.00%,0,0,3,4.23%,0,3,0,0.00%,0,0,0,0.00%,0,0,64,90.14%,29,35,3,4.23%,0,3,7,9.86%,29,40.85%,14,19.72%,0,0.00%,0,0.00%,N,N,N,N
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,9,81,N,34,41.98%,47,58.02%,1,1.23%,1,0,2,2.47%,1,1,1,1.23%,1,0,2,2.47%,1,1,0,0.00%,0,0,0,0.00%,0,0,74,91.36%,29,45,1,1.23%,1,0,7,8.64%,39,48.15%,8,9.88%,0,0.00%,4,4.94%,N,N,N,N
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,10,84,N,30,35.71%,54,64.29%,3,3.57%,0,3,0,0.00%,0,0,1,1.19%,1,0,2,2.38%,1,1,0,0.00%,0,0,0,0.00%,0,0,75,89.29%,27,48,3,3.57%,1,2,9,10.71%,33,39.29%,13,15.48%,0,0.00%,0,0.00%,N,N,N,N
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,11,95,N,48,50.53%,47,49.47%,2,2.11%,0,2,2,2.11%,1,1,3,3.16%,1,2,1,1.05%,0,1,0,0.00%,0,0,0,0.00%,0,0,85,89.47%,44,41,2,2.11%,2,0,10,10.53%,,,,,,,,,Y,Y,Y,Y
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,12,88,N,43,48.86%,45,51.14%,2,2.27%,2,0,0,0.00%,0,0,1,1.14%,1,0,2,2.27%,1,1,0,0.00%,0,0,0,0.00%,0,0,81,92.05%,39,42,2,2.27%,0,2,7,7.95%,,,,,,,,,Y,Y,Y,Y
24-25,01,Aitkin County,0001,01,Aitkin Public School District,001,Aitkin Secondary School,3,03,33,All Grades,509,N,222,43.61%,287,56.39%,11,2.16%,4,7,5,0.98%,2,3,6,1.18%,4,2,12,2.36%,5,7,0,0.00%,0,0,0,0.00%,0,0,461,90.57%,200,261,14,2.75%,7,7,48,9.43%,,,,,,,11,2.16%,Y,Y,Y,N
24-25,01,Aitkin County,0001,01,Aitkin Public School District,002,Rippleside Elementary,3,03,10,ECSE,7,Y,4,57.14%,3,42.86%,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,0,0.00%,0,0,7,100.00%,4,3,0,0.00%,0,0,0,0.00%,,,,,,,,,Y,Y,Y,Y
24-25,01,Aitkin County,0001,01,Aitkin Public School District,002,Rippleside Elementary,3,03,10,PK,45,N,24,53.33%,21,46.67%,1,2.22%,1,0,0,0.00%,0,0,0,0.00%,0,0,1,2.22%,0,1,0,0.00%,0,0,0,0.00%,0,0,43,95.56%,23,20,0,0.00%,0,0,2,4.44%,21,46.67%,0,0.00%,,,0,0.00%,N,N,Y,N
24-25,01,Aitkin County,0001,01,Aitkin Public School District,002,Rippleside Elementary,3,03,10,KG,58,N,26,44.83%,32,55.17%,0,0.00%,0,0,1,1.72%,1,0,1,1.72%,0,1,3,5.17%,3,0,0,0.00%,0,0,0,0.00%,0,0,51,87.93%,21,30,2,3.45%,1,1,7,12.07%,28,48.28%,8,13.79%,0,0.00%,,,N,N,N,Y
