name19.x,math19,math22,math25,math_perc_pt_19_25,color_by
Aitkin Public School District,56.65,56.26,59.79,0.0314,1
Minneapolis Public School District,42.24,33.15,35.79,-0.0645,0
South St. Paul Public School Dist.,39.36,23.51,28.63,-0.1073,0
Anoka-Hennepin Public School District,63.51,52.41,51.94,-0.1157,0
Centennial Public School District,71.55,63.6,60.41,-0.1114,0
Columbia Heights Public School Dist,26.02,15.94,13.79,-0.1223,0
Fridley Public School District,37.84,21.51,30.18,-0.0766,0
Spring Lake Park Public Schools,46.83,37.68,36.18,-0.1065,0
Detroit Lakes Public School Dist.,55.39,44.76,48.41,-0.0698,0
Bemidji Public School District,51.65,45.87,45.65,-0.06,0
Red Lake Public School District,16.58,2.47,3.47,-0.1311,0
Sauk Rapids-Rice Public Schools,53.79,43.16,35.62,-0.1817,0
Foley Public School District,68.31,54.04,56.57,-0.1174,0
Mankato Public School District,59.17,48.38,54.98,-0.0419,0
Eastern Carver County Public School,54.46,51.03,56.33,0.0062,1
Cloquet Public School District,58.91,39.41,48.19,-0.1072,0
Esko Public School District,75.77,66.77,64.33,-0.1144,0
Waconia Public School District,70.44,61.69,64.76,-0.0568,0
Watertown-Mayer Public School Dist.,63.01,48.54,62.38,-0.0063,0
Cass Lake-Bena Public Schools,26.27,14.65,15.95,-0.1032,0
Montevideo Public School District,54.02,50.59,41.99,-0.1203,0
North Branch Public Schools,51.24,40.9,38.41,-0.1283,0
Moorhead Public School District,47.15,41.91,40.34,-0.0681,0
Bagley Public School District,45.54,23.63,27.23,-0.1831,0
Windom Public School District,53.6,42.98,35.55,-0.1805,0
Brainerd Public School District,62.21,50.17,45.64,-0.1657,0
Crosby-Ironton Public School Dist.,45.63,45.69,43.14,-0.0249,0
Pequot Lakes Public Schools,63.77,44.36,48.87,-0.149,0
Burnsville Public School District,43.29,31.42,30.04,-0.1325,0
Farmington Public School District,55.19,44.05,40.27,-0.1492,0
Lakeville Public School District,69.33,56.81,59.26,-0.1007,0
Hastings Public School District,68,48.61,43.18,-0.2482,0
Alexandria Public School District,65.49,54.42,54.56,-0.1093,0
Albert Lea Public School District,43.93,36.57,27.75,-0.1618,0
Cannon Falls Public School District,60.19,48.85,50.86,-0.0933,0
Pine Island Public School Dist.,66.85,56.07,52.23,-0.1462,0
Red Wing Public School District,48.88,33.99,31.06,-0.1782,0
Hopkins Public School District,54.48,41.81,38,-0.1648,0
Bloomington Public School District,46.99,36.6,38.3,-0.0869,0
Eden Prairie Public School District,68.77,59.26,58.71,-0.1006,0
Edina Public School District,76.52,67.02,72.48,-0.0404,0
Minnetonka Public School District,79.24,72.57,74.68,-0.0456,0
Westonka Public School District,78.67,68.8,74.69,-0.0398,0
Orono Public School District,75.64,68.18,73.39,-0.0225,0
Osseo Public School District,49.33,41.67,42.97,-0.0636,0
Richfield Public School District,37.44,28.71,30.65,-0.0679,0
Robbinsdale Public School District,35.23,25.48,26.14,-0.0909,0
St. Louis Park Public School Dist.,53.2,43.46,47.76,-0.0544,0
Wayzata Public School District,79.12,77.78,72.33,-0.0679,0
New Ulm Public School District,12.37,5.26,15.22,0.0187,1
Houston Public School District,40.65,32.88,32.56,-0.0809,0
Park Rapids Public School District,45.71,38.26,38.61,-0.071,0
Greenway Public School District,50.37,45.74,43.16,-0.0721,0
Grand Rapids Public School District,53.42,45.86,47.22,-0.062,0
Mora Public School District,58.86,51.88,51.44,-0.0742,0
Willmar Public School District,48.2,40.64,39.61,-0.0859,0
Lake Superior Public School Dist.,57.62,35.31,34.56,-0.2306,0
Marshall Public School District,59.48,46.02,47,-0.1248,0
Hutchinson Public School District,65.64,56.11,55.06,-0.1058,0
Litchfield Public School District,58.86,55.38,51.13,-0.0773,0
Dassel-Cokato Public School Dist.,70.53,63.29,64.25,-0.0628,0
Princeton Public School District,59.78,43.41,46.16,-0.1362,0
Little Falls Public School District,42.26,33.45,36.33,-0.0593,0
Pierz Public School District,63.73,55.38,65.35,0.0162,1
Austin Public School District,37.09,27.45,24.08,-0.1301,0
St. Peter Public School District,59.2,51.56,49.66,-0.0954,0
Worthington Public School District,35.63,27.23,27.21,-0.0842,0
Byron Public School District,74.3,64.23,64.42,-0.0988,0
Dover-Eyota Public School District,65.29,49.05,48,-0.1729,0
Stewartville Public School District,59.7,46.47,48.76,-0.1094,0
Rochester Public School District,49.79,39.83,41.66,-0.0813,0
Fergus Falls Public School District,58.98,54.19,52.91,-0.0607,0
Perham-Dent Public School District,59.08,46.78,46.34,-0.1274,0
Pine City Public School District,48.81,43.24,39.7,-0.0911,0
Crookston Public School District,56.16,42.1,41.4,-0.1476,0
East Grand Forks Public School Dist,51.6,44.39,43.1,-0.085,0
Mounds View Public School District,66.91,54.61,55.82,-0.1109,0
North St Paul-Maplewood Oakdale Public School District,51.82,29.85,32.45,-0.1937,0
Roseville Public School District,49.07,37.45,37.78,-0.1129,0
St. Paul Public School District,32.12,25.21,26.55,-0.0557,0
Faribault Public School District,34.67,19.82,13.72,-0.2095,0
Northfield Public School District,65.98,59.23,59.86,-0.0612,0
Roseau Public School District,60.74,43.5,38.26,-0.2248,0
Warroad Public School District,49,42.78,39.48,-0.0952,0
Hermantown Public School District,69.71,55.03,60.17,-0.0954,0
Hibbing Public School District,56.81,47.38,44.37,-0.1244,0
Proctor Public School District,58.95,43.36,51.74,-0.0721,0
Duluth Public School District,55.22,46.04,45.11,-0.1011,0
Belle Plaine Public School District,54.6,45.45,52.85,-0.0175,0
Jordan Public School District,61.37,53.33,49.25,-0.1212,0
Shakopee Public School District,58.54,46.51,41.5,-0.1704,0
Becker Public School District,66.22,54.64,51.89,-0.1433,0
Big Lake Public School District,62.96,48.53,48.36,-0.146,0
Holdingford Public School District,71.27,54.3,53.42,-0.1785,0
Melrose Public School District,59.1,48.46,47.66,-0.1144,0
St. Cloud Public School District,36.23,28.01,24.81,-0.1142,0
Sauk Centre Public School District,59.93,39.34,42.78,-0.1715,0
Albany Public School District,71.44,59.21,58.83,-0.1261,0
Rocori Public School District,61.63,52.8,48.12,-0.1351,0
Owatonna Public School District,49.5,42.22,44.67,-0.0483,0
Lake City Public School District,54.79,46.78,45.44,-0.0935,0
Menahga Public School District,51.6,46.08,40.07,-0.1153,0
Waseca Public School District,47.14,36.67,39.84,-0.073,0
Forest Lake Public School District,60.13,47.46,49.61,-0.1052,0
Mahtomedi Public School District,76.65,69.11,71.02,-0.0563,0
Stillwater Area Public School Dist.,63.94,56.39,58.25,-0.0569,0
St. James Public School District,56.4,42.33,36.59,-0.1981,0
Winona Area Public School District,48.57,36.12,34.12,-0.1445,0
Annandale Public School District,65.49,59.66,60.04,-0.0545,0
Buffalo-Hanover-Montrose Public Sch,65.03,54.74,50.74,-0.1429,0
Delano Public School District,78.36,73.41,67.57,-0.1079,0
Monticello Public School District,66.67,59.39,52.6,-0.1407,0
Rockford Public School District,63.13,42.35,39.51,-0.2362,0
Cambridge-Isanti Public School Dist,59.23,45.9,45.99,-0.1324,0
Milaca Public School District,58.54,47.36,42.71,-0.1583,0
Luverne Public School District,69.54,62.27,63.8,-0.0574,0
Pillager Public School District,52.81,51.02,57.47,0.0183,1
Morris Area Public Schools,65.83,54.98,56.93,-0.089,0
Blue Earth Area Public School,47.74,33.96,33.27,-0.1447,0
Duluth Public Schools Academy,54.06,33.12,30.14,-0.2392,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
