District,enrollment25,perc_frp25,math19,reading19,math22,reading22,math25,reading25,math_perc_pt_19_25,reading_perc_pt_19_25,filter_helper,color_by,large_district
Watertown-Mayer Public School Dist.,1440,26.25%,63.01,64.35,48.54,56.38,62.38,61.94,-0.63,-2.41,-0.0063,0,0
Pierz Public School District,1214,27.51%,63.73,60.78,55.38,51.69,65.35,64.19,1.62,3.41,0.0341,1,0
Cloquet Public School District,2529,42.39%,58.91,67.23,39.41,54,48.19,53.08,-10.72,-14.15,-0.1072,0,0
Fridley Public School District,2712,69.84%,37.84,44.25,21.51,32.5,30.18,33.82,-7.66,-10.43,-0.0766,0,0
Proctor Public School District,1848,34.09%,58.95,59.71,43.36,48.13,51.74,54.85,-7.21,-4.86,-0.0486,0,0
Belle Plaine Public School District,1522,25.82%,54.6,63.16,45.45,54.42,52.85,50.97,-1.75,-12.19,-0.0175,0,0
Edina Public School District,8794,16.69%,76.52,77.47,67.02,73.19,72.48,76.13,-4.04,-1.34,-0.0134,0,0
St. Francis Area Schools,4281,31.53%,56.99,60.81,39.01,49.71,45.7,52.66,-11.29,-8.15,-0.0815,0,0
Westonka Public School District,2442,18.14%,78.67,77.55,68.8,73.16,74.69,77.31,-3.98,-0.24,-0.0024,0,0
St. Paul Public School District,33041,66.29%,32.12,39.53,25.21,34.75,26.55,34.82,-5.57,-4.71,-0.0471,0,1
Eastern Carver County Public School,9274,18.96%,54.46,57.89,51.03,50.5,56.33,50.64,1.87,-7.25,0.0062,1,0
New Ulm Public School District,2127,32.82%,12.37,21.05,5.26,17.65,15.22,18.75,2.85,-2.3,0.0187,1,0
Orono Public School District,2987,8.97%,75.64,78.92,68.18,73.15,73.39,72.15,-2.25,-6.77,-0.0225,0,0
Hermantown Public School District,2118,16.53%,69.71,70.86,55.03,59.8,60.17,58.9,-9.54,-11.96,-0.0954,0,0
South St. Paul Public School Dist.,2861,61.38%,39.36,44.89,23.51,36.61,28.63,39.85,-10.73,-5.04,-0.0504,0,0
Pequot Lakes Public Schools,1737,33.05%,63.77,70.37,44.36,60.48,48.87,60.84,-14.9,-9.53,-0.0953,0,0
St. Louis Park Public School Dist.,4446,36.30%,53.2,59.07,43.46,48.06,47.76,53.3,-5.44,-5.77,-0.0544,0,0
Detroit Lakes Public School Dist.,2728,37.06%,55.39,61.05,44.76,54.11,48.41,51.69,-6.98,-9.36,-0.0698,0,0
Bagley Public School District,870,57.47%,45.54,49.82,23.63,30,27.23,29.58,-18.31,-20.24,-0.1831,0,0
Aitkin Public School District,989,44.29%,56.65,57.84,56.26,52.14,59.79,54.78,3.14,-3.06,0.0314,1,0
Sauk Centre Public School District,1104,35.96%,59.93,62.87,39.34,40.65,42.78,42.05,-17.15,-20.82,-0.1715,0,0
Le Sueur-Henderson School District,908,37.67%,46.32,59.67,45.54,52.62,48.15,50,1.83,-9.67,0.059,1,0
Waseca Public School District,1752,44.69%,47.14,54.92,36.67,43.57,39.84,46.91,-7.3,-8.01,-0.073,0,0
Waconia Public School District,3984,12.40%,70.44,70.52,61.69,63.26,64.76,62.85,-5.68,-7.67,-0.0568,0,0
Little Falls Public School District,2424,42.04%,42.26,48.11,33.45,37.52,36.33,41.53,-5.93,-6.58,-0.0593,0,0
Princeton Public School District,3291,34.24%,59.78,63.47,43.41,50.83,46.16,48.77,-13.62,-14.7,-0.1362,0,0
Minneapolis Public School District,29928,56.44%,42.24,46.88,33.15,42.43,35.79,40.79,-6.45,-6.09,-0.0609,0,1
Pillager Public School District,1324,37.39%,52.81,52.33,51.02,50,57.47,58.23,4.66,5.9,0.0183,1,0
Centennial Public School District,6851,25.57%,71.55,68.79,63.6,61.78,60.41,62.08,-11.14,-6.71,-0.0671,0,0
Foley Public School District,1921,27.33%,68.31,69.3,54.04,57.38,56.57,56.97,-11.74,-12.33,-0.1174,0,0
Duluth Public School District,8723,39.33%,55.22,62.59,46.04,56.59,45.11,55.73,-10.11,-6.86,-0.0686,0,0
Minnetonka Public School District,11323,10.96%,79.24,81.51,72.57,73.25,74.68,74.6,-4.56,-6.91,-0.0456,0,1
Stewartville Public School District,1976,23.58%,59.7,61.57,46.47,49.59,48.76,51.57,-10.94,-10,-0.1,0,0
Rosemount-Apple Valley-Eagan,29224,29.47%,63.88,65.27,51.95,56.98,53.27,56.75,-10.61,-8.52,-0.0852,0,1
West St. Paul-Mendota Hts.-Eagan,5452,46.70%,55.02,59.89,41.65,53.75,43.31,53.42,-11.71,-6.47,-0.0647,0,0
Inver Grove Heights Schools,3427,49.26%,47.55,51.63,32.55,42.17,32.57,38.02,-14.98,-13.61,-0.1361,0,0
Stillwater Area Public School Dist.,8455,20.28%,63.94,68.29,56.39,58.69,58.25,60.96,-5.69,-7.33,-0.0569,0,0
Kasson-Mantorville School District,2152,22.12%,62.67,66.61,58.53,59.44,58.69,62.89,-3.98,-3.72,-0.0372,0,0
Owatonna Public School District,4890,42.43%,49.5,54.08,42.22,47.26,44.67,46.53,-4.83,-7.55,-0.0483,0,0
Cannon Falls Public School District,1055,23.51%,60.19,62.71,48.85,53.88,50.86,54.61,-9.33,-8.1,-0.081,0,0
Morris Area Public Schools,1092,27.01%,65.83,60.56,54.98,55.65,56.93,56.75,-8.9,-3.81,-0.0381,0,0
Richfield Public School District,4094,53.69%,37.44,43.62,28.71,34.86,30.65,37.47,-6.79,-6.15,-0.0615,0,0
Mahtomedi Public School District,3285,12.72%,76.65,78.56,69.11,68.76,71.02,68.72,-5.63,-9.84,-0.0563,0,0
Robbinsdale Public School District,10810,58.26%,35.23,48.82,25.48,42.91,26.14,41.19,-9.09,-7.63,-0.0763,0,1
Rochester Public School District,17171,38.74%,49.79,55.49,39.83,49.47,41.66,47.78,-8.13,-7.71,-0.0771,0,1
Osseo Public School District,21138,43.87%,49.33,55.05,41.67,49.54,42.97,47.04,-6.36,-8.01,-0.0636,0,1
Luverne Public School District,1142,31.87%,69.54,60.96,62.27,61.17,63.8,57.26,-5.74,-3.7,-0.037,0,0
Grand Rapids Public School District,3972,42.70%,53.42,61.69,45.86,53.91,47.22,55.89,-6.2,-5.8,-0.058,0,0
Bemidji Public School District,4722,42.48%,51.65,55.35,45.87,49.65,45.65,47.17,-6,-8.18,-0.06,0,0
Moorhead Public School District,7571,47.23%,47.15,52.51,41.91,45,40.34,44.14,-6.81,-8.37,-0.0681,0,0
Cass Lake-Bena Public Schools,1119,80.52%,26.27,35.31,14.65,22.42,15.95,20.5,-10.32,-14.81,-0.1032,0,0
Wayzata Public School District,12951,17.23%,79.12,80.69,77.78,76.96,72.33,72.13,-6.79,-8.56,-0.0679,0,1
Red Lake Public School District,1519,81.44%,16.58,23.23,2.47,10.52,3.47,10.29,-13.11,-12.94,-0.1294,0,0
St. Anthony-New Brighton Schools,1891,29.35%,70.77,67.49,48.24,57.78,48.57,58.48,-22.2,-9.01,-0.0901,0,0
Marshall Public School District,2664,53.49%,59.48,58.96,46.02,46.52,47,45.19,-12.48,-13.77,-0.1248,0,0
Dassel-Cokato Public School Dist.,2020,28.91%,70.53,72.82,63.29,68.3,64.25,64.11,-6.28,-8.71,-0.0628,0,0
Brooklyn Center School District,2174,77.78%,13.83,22.44,4.47,17.08,5.37,13.61,-8.46,-8.83,-0.0846,0,0
Eden Prairie Public School District,9292,30.14%,68.77,73.49,59.26,67.98,58.71,64.8,-10.06,-8.69,-0.0869,0,0
Northfield Public School District,3849,29.12%,65.98,68.42,59.23,59.47,59.86,62.12,-6.12,-6.3,-0.0612,0,0
LA CRESCENT-HOKAH,998,23.25%,47.08,55.33,35.81,45.98,36.78,50.76,-10.3,-4.57,-0.0457,0,0
Annandale Public School District,2006,26.12%,65.49,67.03,59.66,61.68,60.04,60.33,-5.45,-6.7,-0.0545,0,0
Park Rapids Public School District,1589,48.21%,45.71,51.41,38.26,41,38.61,40.86,-7.1,-10.55,-0.071,0,0
Mankato Public School District,8219,37.68%,59.17,64.2,48.38,55.23,54.98,54.42,-4.19,-9.78,-0.0419,0,0
Byron Public School District,2342,15.71%,74.3,76.32,64.23,65.59,64.42,68.46,-9.88,-7.86,-0.0786,0,0
New London-Spicer School District,1518,23.91%,63.87,69.28,56.96,62.27,53.44,58.61,-10.43,-10.67,-0.1043,0,0
Alexandria Public School District,4034,28.31%,65.49,65.69,54.42,53.79,54.56,54.04,-10.93,-11.65,-0.1093,0,0
International Falls School District,914,43.33%,54.34,62.92,42.52,53.23,31.91,47.3,-22.43,-15.62,-0.1562,0,0
St. Cloud Public School District,9940,64.90%,36.23,43.7,28.01,38.34,24.81,33.71,-11.42,-9.99,-0.0999,0,0
Worthington Public School District,4064,63.44%,35.63,44.61,27.23,36.04,27.21,32.56,-8.42,-12.05,-0.0842,0,0
Big Lake Public School District,3190,33.45%,62.96,63.13,48.53,53.95,48.36,50.06,-14.6,-13.07,-0.1307,0,0
Hopkins Public School District,7129,37.35%,54.48,59.48,41.81,51.94,38,48.66,-16.48,-10.82,-0.1082,0,0
Houston Public School District,1934,52.02%,40.65,58.07,32.88,50.91,32.56,49.74,-8.09,-8.33,-0.0809,0,0
Albany Public School District,1744,18.58%,71.44,68.55,59.21,55.95,58.83,57.85,-12.61,-10.7,-0.107,0,0
Perham-Dent Public School District,1671,34.71%,59.08,61.98,46.78,56.7,46.34,54.58,-12.74,-7.4,-0.074,0,0
Mora Public School District,1656,40.58%,58.86,66.06,51.88,61.3,51.44,61.14,-7.42,-4.92,-0.0492,0,0
Roseville Public School District,7256,48.64%,49.07,56.35,37.45,50.04,37.78,45.45,-11.29,-10.9,-0.109,0,0
Mounds View Public School District,11934,33.44%,66.91,67.58,54.61,59.84,55.82,56.49,-11.09,-11.09,-0.1109,0,1
Blue Earth Area Public School,1064,51.79%,47.74,54.06,33.96,42.75,33.27,44.64,-14.47,-9.42,-0.0942,0,0
