"District.Name","School.Name","math_ALL","math_FRP","reading_ALL","reading_FRP"
"Aitkin Public School District","Aitkin Secondary School",54.27,38.46,50.21,37.36
"Aitkin Public School District","Rippleside Elementary",63.24,57.54,58.11,54.71
"Minneapolis Public School District","Armatage Elementary",74.85,40,76.6,47.5
"Minneapolis Public School District","Bancroft Elementary",52.3,30,48.2,24
"Minneapolis Public School District","Bethune Elementary",5.26,4.59,10.52,6.89
"Minneapolis Public School District","Burroughs Elementary",83.67,58.33,84.48,58.33
"Minneapolis Public School District","Howe Elementary",64.73,38.02,68.75,42.25
"Minneapolis Public School District","Kenny Elementary",83.95,45.45,80.86,40.9
"Minneapolis Public School District","Kenwood Elementary",51.7,31.57,45.27,22.07
"Minneapolis Public School District","Loring Elementary",25.85,19,33.78,23.76
"Minneapolis Public School District","Lyndale Elementary",32.71,19.13,37.65,23.47
"Minneapolis Public School District","Jenny Lind Elementary",9.34,6.38,12.14,9.57
"Minneapolis Public School District","Northrop Elementary",70.31,48.64,73.95,43.24
"Minneapolis Public School District","Pillsbury Elementary",22.98,15.32,20.68,13.86
"Minneapolis Public School District","Pratt Elementary",30.58,18.46,36.47,23.07
"Minneapolis Public School District","Las Estrellas Elementary",13.88,3.88,17.36,6.79
"Minneapolis Public School District","Waite Park Elementary",71.07,47.22,65.28,47.22
"Minneapolis Public School District","Windom Elementary",62.29,28.57,66.66,36.5
"Minneapolis Public School District","Ella Baker Elementary",10.29,7.17,13.95,10.75
"Minneapolis Public School District","Dowling Elementary",55.15,35.71,59.39,31.42
"Minneapolis Public School District","Sullivan Elementary",17.75,14.01,20.49,17.51
"Minneapolis Public School District","Webster Elementary",17.3,6.09,23.3,11.11
"Minneapolis Public School District","Barton Elementary",64.43,33.78,62.76,31.08
"Minneapolis Public School District","Field Elementary",73.33,40.81,75.78,40.81
"Minneapolis Public School District","Lake Harriet Upper Elementary",79.64,50,78.59,54.76
"Minneapolis Public School District","Lake Nokomis Keewaydin Elementary",49.6,22.22,52.34,28.88
"Minneapolis Public School District","Seward Elementary",27.79,11.02,45.55,22.79
"Minneapolis Public School District","Folwell Elementary",10.59,7.09,14.56,12.05
"Minneapolis Public School District","Marcy Elementary",27.41,18.97,30.64,21.16
"Minneapolis Public School District","Hmong International Academy Elementary",10.2,9.67,11.22,11.82
"Minneapolis Public School District","Anishinabe Academy Elementary",7.6,6.89,10.86,9.19
"Minneapolis Public School District","Bryn Mawr Elementary",25.84,18.54,21.91,14.56
"Minneapolis Public School District","Green Central Elementary",37.34,15.1,35.74,14.38
"Minneapolis Public School District","Emerson Elementary",32.05,19.14,30.34,18.43
"Minneapolis Public School District","Lucy Laney Elementary",10.05,8.38,17.15,14.19
"Minneapolis Public School District","Hall Academy Elementary",20.63,18.64,15.87,13.55
"Minneapolis Public School District","Nellie Stone Johnson Elementary",6.55,6.72,13.93,13.44
"Minneapolis Public School District","Whittier Elementary",11.11,4.32,18.51,12.96
"Minneapolis Public School District","Cityview Elementary",8.97,8.21,14.1,12.32
"Minneapolis Public School District","Anthony Middle",62.23,33.13,68.24,42.01
"Minneapolis Public School District","Anwatin Middle",8.1,3.66,12.3,7.3
"Minneapolis Public School District","Northeast Middle",20.38,6.66,29.08,15
"Minneapolis Public School District","Olson Middle",6.53,6.78,15.7,14.86
"Minneapolis Public School District","Justice Page Middle",45.8,13.78,56.21,24.35
"Minneapolis Public School District","Sanford Middle",46.38,21.48,55.55,33.88
"Minneapolis Public School District","Franklin Middle",6.66,3.86,14.52,9.13
"Minneapolis Public School District","Andersen Middle",25.6,10.5,29.27,13.22
"Minneapolis Public School District","Fair High",5.26,5.12,33.78,25.53
"Minneapolis Public School District","Merc",NA,NA,NA,NA
"Minneapolis Public School District","Edison High",5.05,2.3,30.63,16.1
"Minneapolis Public School District","Camden High",4.89,4.28,12.86,11.11
"Minneapolis Public School District","Roosevelt High",26.71,5.73,44,23.88
"Minneapolis Public School District","South High",10.28,2.58,19.29,9.39
"Minneapolis Public School District","Wellstone International High",NA,NA,NA,NA
"Minneapolis Public School District","Southwest High",39.51,9.09,63.97,50
"Minneapolis Public School District","Washburn High",33.73,9.9,38.57,16.26
"Minneapolis Public School District","North High",0.76,1,6.71,5.3
"Minneapolis Public School District","Transition Plus Services",NA,NA,NA,NA
"Minneapolis Public School District","Heritage Academy High",NA,NA,NA,NA
"Minneapolis Public School District","Mps Online 6-12",0.58,0,6.87,7.08
"Minneapolis Public School District","Mps Online K-5",0,0,5,5.4
"Minneapolis Public School District","River Bend Educational Center",16.98,17.64,18.86,17.64
"Hill City Public School District","Hill City Elementary",65.51,NA,41.37,NA
"Hill City Public School District","Hill City Middle School",17.28,9.09,28.39,20.45
"McGregor Public School District","McGregor Elementary",57.89,43.1,55.26,43.1
"McGregor Public School District","McGregor Secondary",29.72,19.44,39.5,28.57
"South St. Paul Public School District","South St. Paul Middle School",22,15.61,38.34,29.94
"South St. Paul Public School District","South St. Paul High School",20,6.38,38.07,27.86
"South St. Paul Public School District","S St. Paul Community Lrng. Cntr.",0,0,NA,NA
"South St. Paul Public School District","Lincoln Center Elementary",35.66,25.6,40.66,31.7
"South St. Paul Public School District","Kaposia Education Center Elementary",38.02,33.15,39.54,31.55
"Anoka-Hennepin Public School District","Anoka High School",21.18,13.06,44.79,34.88
"Anoka-Hennepin Public School District","Coon Rapids High School",24.63,17.2,43.58,36.98
"Anoka-Hennepin Public School District","Anoka Middle School For The Arts - Fred Moore Campus",38.96,24.4,48.66,37.77
"Anoka-Hennepin Public School District","Coon Rapids Middle School",34.19,23.85,43.66,35.77
"Anoka-Hennepin Public School District","Jackson Middle",51.05,32.75,53.83,37.16
"Anoka-Hennepin Public School District","Northdale Middle",51.95,32.44,54.65,40.88
"Anoka-Hennepin Public School District","Blaine High School",37.53,24.32,58.32,43.65
"Anoka-Hennepin Public School District","Andover High School",42.45,24.19,57.79,44.44
"Anoka-Hennepin Public School District","Sandburg Regional High School",0,0,13.95,8
"Anoka-Hennepin Public School District","Champlin Park High School",28.57,17.35,43.11,33.22
"Anoka-Hennepin Public School District","Oak View Middle",61.22,43.62,61.25,44.01
"Anoka-Hennepin Public School District","Roosevelt Middle",47.95,30.48,51.02,36.89
"Anoka-Hennepin Public School District","Adams Elementary",38.93,28.57,29.77,24.46
"Anoka-Hennepin Public School District","Crooked Lake Elementary",73.18,58.9,59.54,46.57
"Anoka-Hennepin Public School District","Hamilton Elementary",53.21,50.42,54.38,51.28
"Anoka-Hennepin Public School District","Hoover Elementary - Biomedical, Health Sciences And Engineering",59.64,46.87,51.33,46.09
"Anoka-Hennepin Public School District","Jefferson Elementary",50.44,36.99,44.51,34.1
"Anoka-Hennepin Public School District","Johnsville Elementary",59.87,39.86,51.09,33.56
"Anoka-Hennepin Public School District","Lincoln Elementary School For The Arts",41.7,31.62,44.22,31.62
"Anoka-Hennepin Public School District","Madison Elementary",68.47,60.41,57.63,53.12
"Anoka-Hennepin Public School District","McKinley Elementary",78.23,51.06,65.93,44.68
"Anoka-Hennepin Public School District","Mississippi Elementary",61.72,57.85,49.28,40.49
"Anoka-Hennepin Public School District","Monroe Elementary School - Mathematics, Science And Children's Engineering",57.54,49.27,46.31,34.78
"Anoka-Hennepin Public School District","Morris Bye Elementary",39.91,32.47,41.17,36.75
"Anoka-Hennepin Public School District","Sand Creek Elementary",48.12,42.1,42.66,34.58
"Anoka-Hennepin Public School District","University Avenue Elementary - Aerospace, Children's Engineering And Science",49.04,39.61,36.12,29.87
"Anoka-Hennepin Public School District","Wilson Elementary",51.35,45.07,46.62,39.43
"Anoka-Hennepin Public School District","Evergreen Park Elementary - Stem School Of Innovation",30.92,28.07,25.65,21.05
"Anoka-Hennepin Public School District","Eisenhower Elementary",51.91,30.28,57.49,35.21
"Anoka-Hennepin Public School District","Ramsey Elementary",49.78,42.33,39.95,30.24
"Anoka-Hennepin Public School District","Dayton Elementary",63.52,42.64,50.39,30.88
"Anoka-Hennepin Public School District","Oxbow Creek Elementary",70.96,47.77,62.64,38.21
"Anoka-Hennepin Public School District","Andover Elementary",83.05,66.99,67.61,38.83
"Anoka-Hennepin Public School District","Rum River Elementary",80.04,57.14,65.94,50
"Anoka-Hennepin Public School District","Champlin/Brooklyn Park Academy For Math And Environmental Science",59,46.71,54.5,44.07
"Anoka-Hennepin Public School District","Sunrise Elementary",79.84,64.48,64.44,49.53
"Anoka-Hennepin Public School District","Brookside Elementary",74.21,53.15,60.96,43.24
"Anoka-Hennepin Public School District","Anoka-Hennepin Technical High School",NA,NA,NA,NA
"Anoka-Hennepin Public School District","River Trail Learning Center At Lo Jacob",18.18,16,14.66,8.16
"Centennial Public School District","Centennial High School",37.58,25,46.42,35
"Centennial Public School District","Centennial Middle",50.06,29.21,56.34,38.03
"Centennial Public School District","Centennial Elementary",56.04,45.52,55.31,43.28
"Centennial Public School District","Centerville Elementary",70.95,41.46,59.19,41.46
"Centennial Public School District","Golden Lake Elementary",61.35,49.36,57.48,49.36
"Centennial Public School District","Rice Lake Elementary",80.47,61.7,73.94,57.44
"Centennial Public School District","Blue Heron Elementary",65.76,60.63,60.59,53.19
"Columbia Heights Public School District","Columbia Heights Senior High",14.65,9.03,32.85,28.39
