District.Type,District.Number,math19,reading19,name19.x,math22,reading22,name22.x,math25,reading25,name25.x,math_perc_19_22,math_perc_pt_19_22,math_perc_22_25,math_perc_pt_22_25,math_perc_19_25,math_perc_pt_19_25,reading_perc_19_22,reading_perc_pt_19_22,reading_perc_22_25,reading_perc_pt_22_25,reading_perc_19_25,reading_perc_pt_19_25,name19.y,enrollment19,perc_white19,perc_frp19,name22.y,enrollment22,perc_white22,perc_frp22,name25.y,enrollment25,perc_white25,perc_frp25
1,1,56.65,57.84,Aitkin Public School District,56.26,52.14,Aitkin Public School District,59.79,54.78,Aitkin Public School District,-0.006884378,-0.39,0.062744401,3.53,0.055428067,3.14,-0.098547718,-5.7,0.050632911,2.64,-0.052904564,-3.06,Aitkin Public School District,1186,92.92%,44.52%,Aitkin Public School District,1054,91.84%,29.98%,Aitkin Public School District,989,91.30%,44.29%
3,1,42.24,46.88,Minneapolis Public School District,33.15,42.43,Minneapolis Public School District,35.79,40.79,Minneapolis Public School District,-0.215198864,-9.09,0.079638009,2.64,-0.152698864,-6.45,-0.094923208,-4.45,-0.038651897,-1.64,-0.129906143,-6.09,Minneapolis Public School District,35580,35.35%,56.90%,Minneapolis Public School District,30115,38.49%,48.24%,Minneapolis Public School District,29928,36.20%,56.44%
1,2,39.06,46.03,Hill City Public School District,29.51,35.4,Hill City Public School District,29.27,33.33,Hill City Public School District,-0.244495648,-9.55,-0.008132836,-0.24,-0.250640041,-9.79,-0.230936346,-10.63,-0.058474576,-2.07,-0.275907017,-12.7,Hill City Public School District,267,88.76%,62.92%,Hill City Public School District,246,85.37%,43.09%,Hill City Public School District,267,85.02%,58.05%
1,4,33.33,49.43,McGregor Public School District,32.6,41.4,McGregor Public School District,47.87,48.22,McGregor Public School District,-0.02190219,-0.73,0.468404908,15.27,0.436243624,14.54,-0.162451952,-8.03,0.1647343,6.82,-0.024479061,-1.21,McGregor Public School District,480,74.38%,41.25%,McGregor Public School District,457,75.71%,36.32%,McGregor Public School District,414,78.99%,47.58%
3,6,39.36,44.89,South St. Paul Public School Dist.,23.51,36.61,South St. Paul Public School District,28.63,39.85,South St. Paul Public School District,-0.402693089,-15.85,0.217779668,5.12,-0.272611789,-10.73,-0.18445088,-8.28,0.08850041,3.24,-0.112274449,-5.04,South St. Paul Public School District,3548,54.40%,50.06%,South St. Paul Public School District,3116,48.68%,51.41%,South St. Paul Public School District,2861,44.56%,61.38%
1,11,63.51,65.08,Anoka-Hennepin Public School District,52.41,54.9,Anoka-Hennepin Public School District,51.94,52.64,Anoka-Hennepin Public School District,-0.174775626,-11.1,-0.008967754,-0.47,-0.182176035,-11.57,-0.156422864,-10.18,-0.041165756,-2.26,-0.191149355,-12.44,Anoka-Hennepin Public School District,38802,67.98%,32.38%,Anoka-Hennepin Public School District,38230,60.10%,29.48%,Anoka-Hennepin Public School District,38354,55.28%,38.56%
1,12,71.55,68.79,Centennial Public School District,63.6,61.78,Centennial Public School District,60.41,62.08,Centennial Public School District,-0.111111111,-7.95,-0.050157233,-3.19,-0.155695318,-11.14,-0.101904347,-7.01,0.00485594,0.3,-0.097543248,-6.71,Centennial Public School District,6740,80.64%,16.23%,Centennial Public School District,6702,74.89%,15.65%,Centennial Public School District,6851,70.25%,25.57%
1,13,26.02,35.09,Columbia Heights Public School Dist,15.94,26.08,Columbia Heights Public School District,13.79,21.81,Columbia Heights Public School District,-0.387394312,-10.08,-0.134880803,-2.15,-0.470023059,-12.23,-0.25676831,-9.01,-0.163726994,-4.27,-0.3784554,-13.28,Columbia Heights Public School District,3398,17.86%,72.81%,Columbia Heights Public School District,3258,15.62%,65.07%,Columbia Heights Public School District,3516,13.37%,76.59%
1,14,37.84,44.25,Fridley Public School District,21.51,32.5,Fridley Public School District,30.18,33.82,Fridley Public School District,-0.431553911,-16.33,0.40306834,8.67,-0.20243129,-7.66,-0.265536723,-11.75,0.040615385,1.32,-0.235706215,-10.43,Fridley Public School District,3039,35.44%,64.53%,Fridley Public School District,2889,26.83%,61.58%,Fridley Public School District,2712,22.68%,69.84%
1,15,56.99,60.81,St. Francis Area Schools,39.01,49.71,St. Francis Area Schools,45.7,52.66,St. Francis Area Schools,-0.315493946,-17.98,0.171494489,6.69,-0.198104931,-11.29,-0.182535767,-11.1,0.059344196,2.95,-0.134024009,-8.15,St. Francis Area Schools,4547,85.20%,26.68%,St. Francis Area Schools,4301,81.93%,20.04%,St. Francis Area Schools,4281,78.37%,31.53%
1,16,46.83,56.59,Spring Lake Park Public Schools,37.68,45.05,Spring Lake Park Public Schools,36.18,40.67,Spring Lake Park Public Schools,-0.195387572,-9.15,-0.039808917,-1.5,-0.227418322,-10.65,-0.203922955,-11.54,-0.097225305,-4.38,-0.281321788,-15.92,Spring Lake Park Public Schools,6096,56.35%,34.51%,Spring Lake Park Public Schools,6187,51.30%,36.22%,Spring Lake Park Public Schools,6113,45.28%,45.44%
1,22,55.39,61.05,Detroit Lakes Public School Dist.,44.76,54.11,Detroit Lakes Public School District,48.41,51.69,Detroit Lakes Public School District,-0.191911897,-10.63,0.081546023,3.65,-0.126015526,-6.98,-0.113677314,-6.94,-0.044723711,-2.42,-0.153316953,-9.36,Detroit Lakes Public School District,3047,75.22%,36.82%,Detroit Lakes Public School District,2805,74.94%,31.16%,Detroit Lakes Public School District,2728,73.86%,37.06%
1,23,55.07,61.95,Frazee-Vergas Public School Dist.,39.85,46.7,Frazee-Vergas Public School District,36.1,46.68,Frazee-Vergas Public School District,-0.276375522,-15.22,-0.094102886,-3.75,-0.344470674,-18.97,-0.246166263,-15.25,-0.000428266,-0.02,-0.246489104,-15.27,Frazee-Vergas Public School District,904,85.51%,45.58%,Frazee-Vergas Public School District,866,81.99%,29.91%,Frazee-Vergas Public School District,834,80.82%,42.93%
1,25,24.24,34.38,Pine Point Public School District,10.87,23.91,Pine Point Public School District,21.62,40.54,Pine Point Public School District,-0.551567657,-13.37,0.988960442,10.75,-0.108085809,-2.62,-0.304537522,-10.47,0.695524885,16.63,0.179173938,6.16,Pine Point Public School District,59,0.00%,>=90%,Pine Point Public School District,72,0.00%,88.89%,Pine Point Public School District,46,0.00%,>=90%
1,31,51.65,55.35,Bemidji Public School District,45.87,49.65,Bemidji Public School District,45.65,47.17,Bemidji Public School District,-0.111907067,-5.78,-0.004796163,-0.22,-0.116166505,-6,-0.10298103,-5.7,-0.049949648,-2.48,-0.147786811,-8.18,Bemidji Public School District,5230,71.03%,47.23%,Bemidji Public School District,4874,68.57%,34.78%,Bemidji Public School District,4722,67.92%,42.48%
1,32,45.62,47.76,Blackduck Public School District,38.38,38.04,Blackduck Public School District,30.4,39.61,Blackduck Public School District,-0.158702324,-7.24,-0.207920792,-7.98,-0.333625603,-15.22,-0.203517588,-9.72,0.041272345,1.57,-0.170644891,-8.15,Blackduck Public School District ,674,79.82%,58.01%,Blackduck Public School District,690,79.13%,46.81%,Blackduck Public School District,696,77.59%,56.47%
1,36,40.25,44.74,Kelliher Public School District,31.69,42.28,Kelliher Public School District,29.27,32.24,Kelliher Public School District,-0.212670807,-8.56,-0.076364784,-2.42,-0.272795031,-10.98,-0.054984354,-2.46,-0.237464522,-10.04,-0.279392043,-12.5,Kelliher Public School District,285,49.82%,75.44%,Kelliher Public School District,297,49.49%,57.91%,Kelliher Public School District,311,52.09%,67.85%
