District.Type,District.Number,name19.x,enrollment19,perc_white19,perc_frp19,name22.y,enrollment22,perc_white22,perc_frp22,name25.y,enrollment25,perc_white25,perc_frp25,math19,reading19,math22,reading22,name22.x,math25,reading25,name25.x,math_perc_19_22,math_perc_pt_19_22,math_perc_22_25,math_perc_pt_22_25,math_perc_19_25,math_perc_pt_19_25,reading_perc_19_22,reading_perc_pt_19_22,reading_perc_22_25,reading_perc_pt_22_25,reading_perc_19_25,reading_perc_pt_19_25,name19.y,filter_helper
1,111,Watertown-Mayer Public School Dist.,1552,94.27%,19.59%,Watertown-Mayer Public School District,1499,93.20%,15.74%,Watertown-Mayer Public School District,1440,91.04%,26.25%,63.01,64.35,48.54,56.38,Watertown-Mayer Public School District,62.38,61.94,Watertown-Mayer Public School District,-0.229646088,-0.1447,0.28512567,0.1384,-0.009998413,-0.63,-0.123853924,-0.0797,0.098616531,0.0556,-0.037451437,-2.41,Watertown-Mayer Public School District,-0.63
1,484,Pierz Public School District,1195,96.82%,34.31%,Pierz Public School District,1249,95.44%,24.82%,Pierz Public School District,1214,95.22%,27.51%,63.73,60.78,55.38,51.69,Pierz Public School District,65.35,64.19,Pierz Public School District,-0.131021497,-0.0835,0.180028891,0.0997,0.02541974,1.62,-0.149555775,-0.0909,0.241826272,0.125,0.056103982,3.41,Perz Public School District,3.41
1,2,Hill City Public School District,267,88.76%,62.92%,Hill City Public School District,246,85.37%,43.09%,Hill City Public School District,267,85.02%,58.05%,39.06,46.03,29.51,35.4,Hill City Public School District,29.27,33.33,Hill City Public School District,-0.244495648,-0.0955,-0.008132836,-0.0024,-0.250640041,-0.0979,-0.230936346,-0.1063,-0.058474576,-0.0207,-0.275907017,-0.127,Hill City Public School District,-0.0979
1,4,McGregor Public School District,480,74.38%,41.25%,McGregor Public School District,457,75.71%,36.32%,McGregor Public School District,414,78.99%,47.58%,33.33,49.43,32.6,41.4,McGregor Public School District,47.87,48.22,McGregor Public School District,-0.02190219,-0.0073,0.468404908,0.1527,0.436243624,0.1454,-0.162451952,-0.0803,0.1647343,0.0682,-0.024479061,-0.0121,McGregor Public School District,0.1454
1,94,Cloquet Public School District,2654,72.46%,42.50%,Cloquet Public School District,2646,71.69%,38.06%,Cloquet Public School District,2529,68.72%,42.39%,58.91,67.23,39.41,54,Cloquet Public School District,48.19,53.08,Cloquet Public School District,-0.33101341,-0.195,0.222786095,0.0878,-0.1819725,-10.72,-0.196787149,-0.1323,-0.017037037,-0.0092,-0.210471516,-14.15,Cloquet Public School District,-10.72
1,14,Fridley Public School District,3039,35.44%,64.53%,Fridley Public School District,2889,26.83%,61.58%,Fridley Public School District,2712,22.68%,69.84%,37.84,44.25,21.51,32.5,Fridley Public School District,30.18,33.82,Fridley Public School District,-0.431553911,-0.1633,0.40306834,0.0867,-0.20243129,-7.66,-0.265536723,-0.1175,0.040615385,0.0132,-0.235706215,-10.43,Fridley Public School District,-7.66
1,704,Proctor Public School District,1804,91.19%,28.60%,Proctor Public School District,1868,88.87%,21.95%,Proctor Public School District,1848,88.74%,34.09%,58.95,59.71,43.36,48.13,Proctor Public School District,51.74,54.85,Proctor Public School District,-0.264461408,-0.1559,0.193265683,0.0838,-0.12230704,-7.21,-0.193937364,-0.1158,0.139621857,0.0672,-0.081393401,-4.86,Proctor Public School District,-4.86
1,716,Belle Plaine Public School District,1627,86.72%,19.61%,Belle Plaine Public School District,1578,84.54%,14.58%,Belle Plaine Public School District,1522,83.51%,25.82%,54.6,63.16,45.45,54.42,Belle Plaine Public School District,52.85,50.97,Belle Plaine Public School District,-0.167582418,-0.0915,0.162816282,0.074,-0.032051282,-1.75,-0.138378721,-0.0874,-0.06339581,-0.0345,-0.1930019,-12.19,Belle Plaine Public School District,-1.75
1,273,Edina Public School District,8510,73.16%,8.88%,Edina Public School District,8473,67.63%,11.72%,Edina Public School District,8794,67.35%,16.69%,76.52,77.47,67.02,73.19,Edina Public School District,72.48,76.13,Edina Public School District,-0.124150549,-0.095,0.081468218,0.0546,-0.052796654,-4.04,-0.055247192,-0.0428,0.040169422,0.0294,-0.017297018,-1.34,Edina Public School District,-1.34
1,15,St. Francis Area Schools,4547,85.20%,26.68%,St. Francis Area Schools,4301,81.93%,20.04%,St. Francis Area Schools,4281,78.37%,31.53%,56.99,60.81,39.01,49.71,St. Francis Area Schools,45.7,52.66,St. Francis Area Schools,-0.315493946,-0.1798,0.171494489,0.0669,-0.198104931,-11.29,-0.182535767,-0.111,0.059344196,0.0295,-0.134024009,-8.15,St. Francis Area Schools,-8.15
1,277,Westonka Public School District,2447,86.31%,16.10%,Westonka Public School District,2425,87.09%,11.67%,Westonka Public School District,2442,85.05%,18.14%,78.67,77.55,68.8,73.16,Westonka Public School District,74.69,77.31,Westonka Public School District,-0.125460786,-0.0987,0.085610465,0.0589,-0.050591077,-3.98,-0.05660864,-0.0439,0.056724986,0.0415,-0.003094778,-0.24,Westonka Public School District,-0.24
1,625,St. Paul Public School District,36888,20.82%,65.71%,St. Paul Public School District,33475,21.75%,61.47%,Saint Paul Public Schools,33041,22.14%,66.29%,32.12,39.53,25.21,34.75,Saint Paul Public Schools,26.55,34.82,Saint Paul Public Schools,-0.21513076,-0.0691,0.053153511,0.0134,-0.173412204,-5.57,-0.12092082,-0.0478,0.002014388,0.0007,-0.119150013,-4.71,St. Paul Public School District,-4.71
1,23,Frazee-Vergas Public School Dist.,904,85.51%,45.58%,Frazee-Vergas Public School District,866,81.99%,29.91%,Frazee-Vergas Public School District,834,80.82%,42.93%,55.07,61.95,39.85,46.7,Frazee-Vergas Public School District,36.1,46.68,Frazee-Vergas Public School District,-0.276375522,-0.1522,-0.094102886,-0.0375,-0.344470674,-0.1897,-0.246166263,-0.1525,-0.000428266,-0.0002,-0.246489104,-0.1527,Frazee-Vergas Public School District,-0.1527
1,25,Pine Point Public School District,59,0.00%,>=90%,Pine Point Public School District,72,0.00%,88.89%,Pine Point Public School District,46,0.00%,>=90%,24.24,34.38,10.87,23.91,Pine Point Public School District,21.62,40.54,Pine Point Public School District,-0.551567657,-0.1337,0.988960442,0.1075,-0.108085809,-0.0262,-0.304537522,-0.1047,0.695524885,0.1663,0.179173938,0.0616,Pine Point Public School District,0.0616
1,112,Eastern Carver County Public School,9829,76.46%,17.14%,Eastern Carver County Public Schools,9379,74.63%,13.97%,Eastern Carver County Public Schools,9274,73.85%,18.96%,54.46,57.89,51.03,50.5,Eastern Carver County Public Schools,56.33,50.64,Eastern Carver County Public Schools,-0.084446644,-0.0512,0.103404792,0.0574,0.010225961,1.87,-0.097779103,-0.0656,0.026928796,0.0163,-0.073483381,-7.25,Eastern Carver County Public Schools,1.87
1,32,Blackduck Public School District,674,79.82%,58.01%,Blackduck Public School District,690,79.13%,46.81%,Blackduck Public School District,696,77.59%,56.47%,45.62,47.76,38.38,38.04,Blackduck Public School District,30.4,39.61,Blackduck Public School District,-0.158702324,-0.0724,-0.207920792,-0.0798,-0.333625603,-0.1522,-0.203517588,-0.0972,0.041272345,0.0157,-0.170644891,-0.0815,Blackduck Public School District ,-0.0815
1,36,Kelliher Public School District,285,49.82%,75.44%,Kelliher Public School District,297,49.49%,57.91%,Kelliher Public School District,311,52.09%,67.85%,40.25,44.74,31.69,42.28,Kelliher Public School District,29.27,32.24,Kelliher Public School District,-0.212670807,-0.0856,-0.076364784,-0.0242,-0.272795031,-0.1098,-0.054984354,-0.0246,-0.237464522,-0.1004,-0.279392043,-0.125,Kelliher Public School District,-0.1098
1,88,New Ulm Public School District,2091,91.06%,28.79%,New Ulm Public School District,2083,91.50%,22.32%,New Ulm Public School District,2127,87.59%,32.82%,12.37,21.05,5.26,17.65,New Ulm Public School District,15.22,18.75,New Ulm Public School District,-0.062982005,-0.0343,0.103860474,0.053,0.034337128,2.85,-0.127655899,-0.0739,0.002772277,0.0014,-0.125237519,-2.3,New Ulm Public School District,2.85
1,278,Orono Public School District,2885,89.19%,6.69%,Orono Public School District,2859,88.25%,5.60%,Orono Public School District,2987,86.94%,8.97%,75.64,78.92,68.18,73.15,Orono Public School District,73.39,72.15,Orono Public School District,-0.098625066,-0.0746,0.076415371,0.0521,-0.029746166,-2.25,-0.073112012,-0.0577,-0.01367054,-0.01,-0.085783071,-6.77,Orono Public School District,-2.25
