"District.Name.x","District.Name.y"
"South St. Paul Public School Dist.","South St. Paul Public School District"
"Columbia Heights Public School Dist","Columbia Heights Public School District"
"Detroit Lakes Public School Dist.","Detroit Lakes Public School District"
"Frazee-Vergas Public School Dist.","Frazee-Vergas Public School District"
"Watertown-Mayer Public School Dist.","Watertown-Mayer Public School District"
"Eastern Carver County Public School","Eastern Carver County Public Schools"
"Walker-Hackensack-Akeley Schl. Dist","Walker-Hackensack-Akeley School District"
"North Branch Public Schools","North Branch Area Public Schools"
"Moorhead Public School District","Moorhead Area Public School District"
"Crosby-Ironton Public School Dist.","Crosby-Ironton Public School District"
"Burnsville Public School District","Burnsville-Eagan-Savage School District"
"Lakeville Public School District","Lakeville Area Schools"
"West St. Paul-Mendota Hts.-Eagan","West St. Paul-Mendota Heights-Eagan"
"Mabel-Canton Public School Dist.","Mabel-Canton Public School District"
"Pine Island Public School Dist.","Pine Island Public School District"
"Herman-Norcross School District","Herman-Norcross Community School"
"Bloomington Public School District","Bloomington Public Schools"
"St. Louis Park Public School Dist.","St. Louis Park Public School District"
"Brooklyn Center School District","Brooklyn Center Community Schools"
"Mora Public School District","Mora Public Schools"
"Littlefork-Big Falls School Dist.","Littlefork-Big Falls School District"
"Lake Superior Public School Dist.","Lake Superior Public School District"
"Lester Prairie Public School Dist.","Lester Prairie Public School District"
"Waubun-Ogema-White Earth Public Sch","Waubun-Ogema-White Earth Schools"
"Dassel-Cokato Public School Dist.","Dassel-Cokato Public School District"
"Little Falls Public School District","Little Falls Community Schools"
"Parkers Prairie Public School Dist.","Parkers Prairie Public School District"
"Pelican Rapids Public School Dist.","Pelican Rapids Public School District"
"New York Mills Public School Dist.","New York Mills Public School District"
"East Grand Forks Public School Dist","East Grand Forks Public Schools"
"North St Paul-Maplewood Oakdale Public School District","North St. Paul-Maplewood Oakdale Public School District"
"St. Paul Public School District","Saint Paul Public Schools"
"Red Lake Falls Public School Dist.","Red Lake Falls Public School District"
"Hermantown Public School District","Hermantown Community Schools"
"Independent School District 728","Elk River Public School District"
"Paynesville Public School District","Paynesville Area Schools"
"Blooming Prairie Public School Dist","Blooming Prairie Public School District"
"Chokio-Alberta Public School Dist.","Chokio-Alberta Public Schools"
"Browns Valley Public School Dist.","Browns Valley Public School District"
"Wabasha-Kellogg Public School Dist.","Wabasha-Kellogg Public School District"
"South Washington County School Dist","South Washington County Schools"
"Stillwater Area Public School Dist.","Stillwater Area Public Schools"
"Butterfield Public School District","Butterfield-Odin Public School District"
"Campbell-Tintah Public School Dist.","Campbell-Tintah Public School District"
"Lewiston-Altura Public School Dist.","Lewiston-Altura Public School District"
"Buffalo-Hanover-Montrose Public Sch","Buffalo-Hanover-Montrose Schools"
"St. Michael-Albertville School Dist","St. Michael-Albertville School District"
"Cambridge-Isanti Public School Dist","Cambridge-Isanti Public School District"
"Ulen-Hitterdal Public School Dist","Ulen-Hitterdal Public School District"
"Southern Plains Education Coop.","Southern Plains Education Cooperative"
"United South Central School Dist.","United South Central School District"
"Buffalo Lk-Hector-Stewart Public Sc","Buffalo Lake-Hector-Stewart Public Schools"
"Murray County Central School Dist.","Murray County Central Schools"
"Warren-Alvarado-Oslo School Dist.","Warren-Alvarado-Oslo School District"
"G.F.W.","Gfw Public Schools"
"Greenbush-Middle River School Dist.","Greenbush Middle River School District"
"Janesville-Waldorf-Pemberton","Janesville-Waldorf-Pemberton Public School District"
"Lac Qui Parle Valley School Dist.","Lac Qui Parle Valley School District"
"Blue Earth Area Public School","Blue Earth Area School District"
"Renville County West School Dist.","Renville County West School District"
"Jackson County Central School Dist.","Jackson County Central School District"
"Plainview-Elgin-Millville","Plainview-Elgin-Millville Community Schools"
"Schoolcraft Learning Community Chtr","Schoolcraft Learning Community Charter"
"Riverway Learning Community Chtr","Riverway Learning Community Charter"
"Academia Cesar Chavez Charter School","Academias La Paz"
"Friendship Acdmy Of Fine Arts Chtr.","Friendship Academy Of The Arts"
"Urban Academy Charter School","Urban Academy"
"St Paul Conservatory Performing Art","Saint Paul Conservatory For Performing Artists"
"Ubah Medical Academy Charter School","Ubah Academy"
"Stride Academy Charter School","Stride Academy"
"New Millennium Academy Charter Sch","New Millennium Academy"
"Dugsi Academy","Midway Star Academy"
"East Range Academy Of Tech-Science","East Range Academy Of Technology And Science"
"Lincoln International School","Lincoln International High School"
"Parnassus Preparatory Charter Sch","Parnassus Preparatory School"
"Step Academy Charter School","Step Academy"
"Hennepin Elementary School","Hennepin Schools"
"Jane Goodall Environmental Science Academy","Terra Nova School"
"Tesfa International School","Twin Lakes Stem Academy"
"Freshwater Ed. Dist.","Freshwater Education District"
"Hiawatha Valley Ed. District","Hiawatha Valley Education District"
"Mn Valley Education District","Minnesota Valley Education District"
"Rum River Special Education Coop","Rum River Special Education Cooperative"
"Southern Mn Education Consortium","Southern Minnesota Education Consortium"
"Benton-Stearns Ed. District","Benton-Stearns Education District"
"Mid State Education District","Mid-State Education District"
