"Year","District.Number","District.Type","District.Name","math","reading","attendance"
"Identification Year: 2025",1,1,"Aitkin Public School District",NA,NA,78.21
"Identification Year: 2025",1,1,"Aitkin Public School District",59.77,55.14,91.57
"Identification Year: 2025",1,1,"Aitkin Public School District",NA,35,79.42
"Identification Year: 2025",1,1,"Aitkin Public School District",27.62,27.27,84.46
"Identification Year: 2025",1,1,"Aitkin Public School District",48.42,46.07,85.11
"Identification Year: 2025",1,1,"Aitkin Public School District",54.31,49.59,87.85
"Identification Year: 2025",1,3,"Minneapolis Public School District",10.74,16.74,29.43
"Identification Year: 2025",1,3,"Minneapolis Public School District",24.57,29.13,64.81
"Identification Year: 2025",1,3,"Minneapolis Public School District",8.4,14.7,40.36
"Identification Year: 2025",1,3,"Minneapolis Public School District",13.3,16.88,53.67
"Identification Year: 2025",1,3,"Minneapolis Public School District",NA,NA,37.45
"Identification Year: 2025",1,3,"Minneapolis Public School District",61.72,68.93,73.19
"Identification Year: 2025",1,3,"Minneapolis Public School District",40.32,46.67,62.83
"Identification Year: 2025",1,3,"Minneapolis Public School District",8.77,10.54,54.71
"Identification Year: 2025",1,3,"Minneapolis Public School District",18,21.09,45.63
"Identification Year: 2025",1,3,"Minneapolis Public School District",11.79,17.28,43.92
"Identification Year: 2025",1,3,"Minneapolis Public School District",28.18,33.71,54.13
"Identification Year: 2025",2,1,"Hill City Public School District",NA,NA,59.87
"Identification Year: 2025",2,1,"Hill City Public School District",33.91,32.96,77.95
"Identification Year: 2025",2,1,"Hill City Public School District",14.98,13.74,69.3
"Identification Year: 2025",2,1,"Hill City Public School District",29.01,28.61,70.27
"Identification Year: 2025",2,1,"Hill City Public School District",31.61,32.76,72.86
"Identification Year: 2025",4,1,"McGregor Public School District",26.81,30.75,42.62
"Identification Year: 2025",4,1,"McGregor Public School District",46.16,49.48,74.1
"Identification Year: 2025",4,1,"McGregor Public School District",27.6,28.63,57.9
"Identification Year: 2025",4,1,"McGregor Public School District",28.74,35.51,56.57
"Identification Year: 2025",4,1,"McGregor Public School District",39.6,43.36,64.26
"Identification Year: 2025",6,3,"South St. Paul Public School District",25.28,43.61,51.88
"Identification Year: 2025",6,3,"South St. Paul Public School District",24.5,37.18,77.28
"Identification Year: 2025",6,3,"South St. Paul Public School District",10.94,24.74,45.66
"Identification Year: 2025",6,3,"South St. Paul Public School District",15.33,26.82,54.03
"Identification Year: 2025",6,3,"South St. Paul Public School District",35.41,48.2,68.18
"Identification Year: 2025",6,3,"South St. Paul Public School District",23.75,29.77,59.38
"Identification Year: 2025",6,3,"South St. Paul Public School District",11.04,13.85,60.56
"Identification Year: 2025",6,3,"South St. Paul Public School District",14.45,18.48,51.73
"Identification Year: 2025",6,3,"South St. Paul Public School District",17.59,27.82,51.82
"Identification Year: 2025",6,3,"South St. Paul Public School District",22.87,34.12,59.9
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",38.76,44.66,65.15
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",45.18,42.76,85.92
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",32.58,41.36,76.17
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",30.6,35.58,69.13
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",NA,NA,86.3
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",59.37,59.1,79.75
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",45.89,48.88,73.67
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",30.55,29.07,79.48
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",32.53,29.46,71.47
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",33.51,37.38,70.28
"Identification Year: 2025",11,1,"Anoka-Hennepin Public School District",43.77,45.8,76.68
"Identification Year: 2025",12,1,"Centennial Public School District",39.2,51.01,57.23
"Identification Year: 2025",12,1,"Centennial Public School District",49.85,49.13,81.38
"Identification Year: 2025",12,1,"Centennial Public School District",39.79,48.06,77.15
"Identification Year: 2025",12,1,"Centennial Public School District",36.52,44.47,65.68
"Identification Year: 2025",12,1,"Centennial Public School District",62.57,62.13,78.32
"Identification Year: 2025",12,1,"Centennial Public School District",62.58,62.67,75.88
"Identification Year: 2025",12,1,"Centennial Public School District",30.75,30.78,72.18
"Identification Year: 2025",12,1,"Centennial Public School District",38.02,37.15,70
"Identification Year: 2025",12,1,"Centennial Public School District",37.97,42.44,65.83
"Identification Year: 2025",12,1,"Centennial Public School District",49.5,52.08,73.64
"Identification Year: 2025",13,1,"Columbia Heights Public School District",13.33,21.98,30.7
"Identification Year: 2025",13,1,"Columbia Heights Public School District",24.7,32.23,86.5
"Identification Year: 2025",13,1,"Columbia Heights Public School District",11.65,26.48,57.48
"Identification Year: 2025",13,1,"Columbia Heights Public School District",9.25,15.9,68.81
"Identification Year: 2025",13,1,"Columbia Heights Public School District",37.16,52.57,70.45
"Identification Year: 2025",13,1,"Columbia Heights Public School District",16.77,35.4,57.54
"Identification Year: 2025",13,1,"Columbia Heights Public School District",7.98,13.57,69.02
"Identification Year: 2025",13,1,"Columbia Heights Public School District",9.28,12.75,56.21
"Identification Year: 2025",13,1,"Columbia Heights Public School District",11.94,22.57,63.23
"Identification Year: 2025",13,1,"Columbia Heights Public School District",17.35,28.69,63.45
"Identification Year: 2025",14,1,"Fridley Public School District",17.55,25.18,53.51
"Identification Year: 2025",14,1,"Fridley Public School District",33.05,38.56,87.14
"Identification Year: 2025",14,1,"Fridley Public School District",17.76,27.25,67.97
"Identification Year: 2025",14,1,"Fridley Public School District",16.04,18.67,66.97
"Identification Year: 2025",14,1,"Fridley Public School District",47.44,53.49,76.67
"Identification Year: 2025",14,1,"Fridley Public School District",33.32,39.76,70.87
"Identification Year: 2025",14,1,"Fridley Public School District",14.71,15.3,73.41
"Identification Year: 2025",14,1,"Fridley Public School District",15.01,15.53,64.51
"Identification Year: 2025",14,1,"Fridley Public School District",20.03,26.83,66.49
"Identification Year: 2025",14,1,"Fridley Public School District",26.92,32.83,70.95
"Identification Year: 2025",15,1,"St. Francis Area Schools",27.16,42.63,58.04
"Identification Year: 2025",15,1,"St. Francis Area Schools",31.04,37.24,79.43
