"District.Number","District.Type","name2019","name2022","name2025","math2019","reading2019","attendance2019","math2022","reading2022","attendance2022","math2025","reading2025","attendance2025","math_perc_19_22","math_perc_pt_19_22","math_perc_22_25","math_perc_pt_22_25","math_perc_19_25","math_perc_pt_19_25","reading_perc_19_22","reading_perc_pt_19_22","reading_perc_22_25","reading_perc_pt_22_25","reading_perc_19_25","reading_perc_pt_19_25","name19","enrollment19","perc_white19","perc_frp19","name22","enrollment22","perc_white22","perc_frp22","name25","enrollment25","perc_white25","perc_frp25"
1,1,"Aitkin Public School District","Aitkin Public School District","Aitkin Public School District",56.62,56.96,96.92,53.62,50,96.15,58.59,54.05,NA,-0.0529848110208407,-3,0.0926892950391646,4.97000000000001,0.0347933592370188,1.97000000000001,-0.122191011235955,-6.96,0.081,4.05,-0.0510884831460675,-2.91,"Aitkin Public School District",1186,"92.92%","44.52%","Aitkin Public School District",1054,"91.84%","29.98%","Aitkin Public School District",989,"91.30%","44.29%"
1,3,"Minneapolis Public School District","Minneapolis Public School District","Minneapolis Public School District",38.84,43.44,78.85,28.02,36.59,45.77,34.75,40.62,NA,-0.278578784757982,-10.82,0.240185581727338,6.73,-0.105303810504634,-4.09,-0.15768876611418,-6.84999999999999,0.110139382344903,4.02999999999999,-0.0649171270718232,-2.82,"Minneapolis Public School District",35580,"35.35%","56.90%","Minneapolis Public School District",30115,"38.49%","48.24%","Minneapolis Public School District",29928,"36.20%","56.44%"
2,1,"Hill City Public School District","Hill City Public School District","Hill City Public School District",39.06,46.4,75.61,31.03,35.13,73.87,26.98,30.7,NA,-0.20558115719406,-8.03,-0.130518852723171,-4.05,-0.309267793138761,-12.08,-0.242887931034483,-11.27,-0.126103045829775,-4.43,-0.338362068965517,-15.7,"Hill City Public School District",267,"88.76%","62.92%","Hill City Public School District",246,"85.37%","43.09%","Hill City Public School District",267,"85.02%","58.05%"
4,1,"McGregor Public School District","McGregor Public School District","McGregor Public School District",33.6,49.41,76.51,32.43,38.38,64.7,45.83,48.71,NA,-0.0348214285714286,-1.17,0.413197656490903,13.4,0.363988095238095,12.23,-0.223234163124873,-11.03,0.269150599270453,10.33,-0.0141671726371179,-0.699999999999996,"McGregor Public School District",480,"74.38%","41.25%","McGregor Public School District",457,"75.71%","36.32%","McGregor Public School District",414,"78.99%","47.58%"
6,3,"South St. Paul Public School Dist.","South St. Paul Public School District","South St. Paul Public School District",39.25,44.72,76.13,22.75,35.48,55.05,27.71,38.98,NA,-0.420382165605096,-16.5,0.218021978021978,4.96,-0.294012738853503,-11.54,-0.206618962432916,-9.24,0.0986471251409245,3.5,-0.128354203935599,-5.74,"South St. Paul Public School District",3548,"54.40%","50.06%","South St. Paul Public School District",3116,"48.68%","51.41%","South St. Paul Public School District",2861,"44.56%","61.38%"
11,1,"Anoka-Hennepin Public School District","Anoka-Hennepin Public School District","Anoka-Hennepin Public School District",63.34,65.06,88.01,48.96,52.87,78.55,50.59,51.84,NA,-0.227028733817493,-14.38,0.0332924836601308,1.63,-0.201294600568361,-12.75,-0.187365508761144,-12.19,-0.0194817476829959,-1.02999999999999,-0.203197048877959,-13.22,"Anoka-Hennepin Public School District",38802,"67.98%","32.38%","Anoka-Hennepin Public School District",38230,"60.10%","29.48%","Anoka-Hennepin Public School District",38354,"55.28%","38.56%"
12,1,"Centennial Public School District","Centennial Public School District","Centennial Public School District",70.8,67.96,90.59,60.35,59.72,71.82,55.74,57.3,NA,-0.147598870056497,-10.45,-0.0763877381938691,-4.61,-0.21271186440678,-15.06,-0.121247792819305,-8.24,-0.0405224380442063,-2.42,-0.156856974690995,-10.66,"Centennial Public School District",6740,"80.64%","16.23%","Centennial Public School District",6702,"74.89%","15.65%","Centennial Public School District",6851,"70.25%","25.57%"
13,1,"Columbia Heights Public School Dist","Columbia Heights Public School District","Columbia Heights Public School District",26.74,35.99,77.64,14.79,24.94,58.39,15.85,25.32,NA,-0.446896035901272,-11.95,0.0716700473292766,1.06,-0.407255048616305,-10.89,-0.307029730480689,-11.05,0.0152365677626303,0.379999999999999,-0.29647124201167,-10.67,"Columbia Heights Public School District",3398,"17.86%","72.81%","Columbia Heights Public School District",3258,"15.62%","65.07%","Columbia Heights Public School District",3516,"13.37%","76.59%"
14,1,"Fridley Public School District","Fridley Public School District","Fridley Public School District",38.73,45.22,82.29,19.69,30.9,65.92,30.32,35.17,NA,-0.491608572166279,-19.04,0.539867953275774,10.63,-0.21714433255874,-8.41,-0.316674038036267,-14.32,0.138187702265372,4.27,-0.222246793454224,-10.05,"Fridley Public School District",3039,"35.44%","64.53%","Fridley Public School District",2889,"26.83%","61.58%","Fridley Public School District",2712,"22.68%","69.84%"
15,1,"St. Francis Area Schools","St. Francis Area Schools","St. Francis Area Schools",56.31,60.3,85.35,36.43,46.75,66.77,43.24,50.54,NA,-0.353045640206003,-19.88,0.18693384573154,6.81,-0.232107973716924,-13.07,-0.224709784411277,-13.55,0.0810695187165775,3.79,-0.161857379767827,-9.76,"St. Francis Area Schools",4547,"85.20%","26.68%","St. Francis Area Schools",4301,"81.93%","20.04%","St. Francis Area Schools",4281,"78.37%","31.53%"
